Nummer,Sieve ,Sieve + soil, Sieve+ soil+ water,,WHC,pot nr,treatment,group
124,16.71,26.66,30.96,,43.2160804,124,Bentonite,all
125,16.93,26.78,30.55,,38.27411168,125,Bentonite,all
126,16.99,26.69,30.47,,38.96907216,126,Bentonite,all
127,16.6,26.59,30.42,,38.33833834,127,Bentonite,all
128,16.66,26.81,30.65,,37.83251232,128,Bentonite,all
129,16.71,26.81,30.9,,40.4950495,129,Bentonite,all
130,16.71,26.73,31.66,,49.20159681,130,Bentonite,all
131,16.5,26.64,31.28,,45.75936884,131,Biochar,all
132,16.47,26.64,30.8,,40.90462144,132,Biochar,all
133,16.45,26.52,30.41,,38.62959285,133,Biochar,all
134,16.55,26.49,30.37,,39.03420523,134,Biochar,all
135,16.41,26.46,30.68,,41.99004975,135,Biochar,all
136,16.84,26.59,30.33,,38.35897436,136,Biochar,all
137,16.69,26.41,29.83,,35.18518519,137,Biochar,all
138,16.79,26.66,29.93,,33.13069909,138,Biochar,all
139,16.72,26.56,30.72,,42.27642276,139,Biochar,all
140,16.88,26.57,30.55,,41.07327141,140,Biochar,all
